Project,Package,Class,MethodSignature,OuterClass,AccessModifier,IsStatic,IsFinal,ALU,ATFD,CA,CAM,CBO,CBOMZ,CE,CYCLO,DAM,DIT,LCOM,LD,LOC_C,LOC_M,MFA,MOA,MRD,NOAIT_C,NOAM,NOASIT_C,NOAU,NOBU,NOC,NOCT,NODT_C,NODV_C,NOECU_C,NOEET,NOET,NOFS_C,NOIS_C,NOL_C,NOL_M,NOM,NOMM,NOMR_C,NOMR_M,NONT,NOPA,NOPT,NOPV,NORT,NPM,Nono_C,RFC,WMC,WMCNAMM,WOC
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans,org.joda.beans,TestJodaBeanUtils,"test_notEmpty_String_notOk_null()",,public,false,false,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans,org.joda.beans,TestJodaBeanUtils,"test_notEmpty_String_ok()",,public,false,false,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans,org.joda.beans,TestJodaBeanUtils,"test_notEmpty_Collection_notOk_null()",,public,false,false,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans,org.joda.beans,TestJodaBeanUtils,"test_equal_IntegerIntArray()",,public,false,false,,,,,,,,1,,,,,,6,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans,org.joda.beans,TestJodaBeanUtils,"test_mapValueTypeTypes_valid()",,public,false,false,,,,,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans,org.joda.beans,TestJodaBeanUtils,"test_compare_ascending()",,public,false,false,,,,,,,,1,,,,,,13,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans,org.joda.beans,TestJodaBeanUtils,"test_listType_Person_addressList()",,public,false,false,,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans,org.joda.beans,TestJodaBeanUtils,"test_compare_ascending_null()",,public,false,false,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans,org.joda.beans,TestJodaBeanUtils,"test_equal_IntegerArray()",,public,false,false,,,,,,,,1,,,,,,10,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans,org.joda.beans,TestJodaBeanUtils,"test_notEmpty_Collection_notOk_empty()",,public,false,false,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans,org.joda.beans,TestJodaBeanUtils,"test_notBlank_String_notOk_empty()",,public,false,false,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans,org.joda.beans,TestJodaBeanUtils,"test_propertiesEqual_propertiesHashCode()",,public,false,false,,,,,,,,1,,,,,,19,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans,org.joda.beans,TestJodaBeanUtils,"test_notNull_notOk()",,public,false,false,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans,org.joda.beans,TestJodaBeanUtils,"test_equal_doubles()",,public,false,false,,,,,,,,1,,,,,,13,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans,org.joda.beans,TestJodaBeanUtils,"test_equalWithTolerance_doubles_someTolerance()",,public,false,false,,,,,,,,1,,,,,,18,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans,org.joda.beans,TestJodaBeanUtils,"test_notBlank_String_notOk_allWhitespace()",,public,false,false,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans,org.joda.beans,TestJodaBeanUtils,"test_equal_FloatArray()",,public,false,false,,,,,,,,1,,,,,,10,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans,org.joda.beans,TestJodaBeanUtils,"equalIgnoring_same()",,public,false,false,,,,,,,,1,,,,,,6,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans,org.joda.beans,TestJodaBeanUtils,"test_notEmpty_String_notOk_empty()",,public,false,false,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans,org.joda.beans,TestJodaBeanUtils,"test_notEmpty_Collection_ok()",,public,false,false,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans,org.joda.beans,TestJodaBeanUtils,"test_equal_ObjectArray()",,public,false,false,,,,,,,,1,,,,,,10,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans,org.joda.beans,TestJodaBeanUtils,"test_equal_BooleanArray()",,public,false,false,,,,,,,,1,,,,,,10,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans,org.joda.beans,TestJodaBeanUtils,"test_equal_LongArray()",,public,false,false,,,,,,,,1,,,,,,10,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans,org.joda.beans,TestJodaBeanUtils,"test_equal_CharArray()",,public,false,false,,,,,,,,1,,,,,,10,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans,org.joda.beans,TestJodaBeanUtils,"test_equal()",,public,false,false,,,,,,,,1,,,,,,6,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans,org.joda.beans,TestJodaBeanUtils,"test_mapType_Person_otherAddressMap()",,public,false,false,,,,,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans,org.joda.beans,TestJodaBeanUtils,"test_notBlank_String_ok()",,public,false,false,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans,org.joda.beans,TestJodaBeanUtils,"test_collectionTypeTypes_valid()",,public,false,false,,,,,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans,org.joda.beans,TestJodaBeanUtils,"",,public,false,false,false,,,,,,,,,,,0.0,564,,,,0.0,185,0,0,0,0,,61,0,87,0,15,0,0,0,0,,62,0,0,,0,0,0,0,0,61,17,,62,62,1.0
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans,org.joda.beans,TestRWOnlyBean,"test_ro()",,public,false,false,,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans,org.joda.beans,TestRWOnlyBean,"test_wo2()",,public,false,false,,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,
/home/mich/Desktop/projects/joda-beans/src/test/java/org/joda/beans,org.joda.beans,TestRWOnlyBean,"",,public,false,false,false,,,,,,,,,,,0.0,32,,,,0.0,6,0,0,0,0,,5,0,0,0,2,0,0,0,0,,5,0,0,,0,0,0,0,0,5,0,,5,5,1.0
